,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
16,Danka,50,"('calm', 'wise', 'empathetic')","('opinionated', 'stubborn', 'inflexible')","('cooking', 'gardening', 'bird watching')",therapist,Mind Shield,upper middle class,heterosexual,Christian,0,5.7,grey,blue,fair,average,SLAV,F,"('SLAV', 'F')"
17,Yunhee,22,"('enthusiastic', 'optimistic', 'diligent')","('naive', 'impatient', 'eager')","('singing', 'playing violin', 'cycling')",student,Harmony Strike,middle class,bisexual,Buddhist,0,5.4,brown,black,fair,slim,KOREAN,F,"('KOREAN', 'F')"
18,Kuninori,34,"('organized', 'determined', 'analytical')","('stubborn', 'unforgiving', 'impatient')","('fishing', 'photography', 'woodworking')",architect,Blueprint Blast,middle class,heterosexual,Shinto,0,5.9,black,dark brown,fair,average,JAPANESE,M,"('JAPANESE', 'M')"
19,Jemma,27,"('courageous', 'friendly', 'adaptable')","('impulsive', 'restless', 'skeptical')","('drawing', 'kayaking', 'meditation')",firefighter,Firestorm,working class,queer,agnostic,0,5.8,red,green,fair,athletic,ENGLISH,F,"('ENGLISH', 'F')"
20,Fransjaco,32,"('kind', 'curious', 'determined')","('impatient', 'stubborn', 'disorganized')","('hiking', 'photography', 'cooking')",Software Developer,Lightning Code,middle class,heterosexual,agnostic,0,5.9,black,brown,olive,athletic,DUTCH,M,"('DUTCH', 'M')"
21,Waheedah,28,"('empathetic', 'intelligent', 'passionate')","('perfectionist', 'anxious', 'moody')","('reading', 'painting', 'gardening')",Nurse,Healing Touch,middle class,bisexual,muslim,0,5.6,brown,hazel,light brown,slim,ARAB,F,"('ARAB', 'F')"
22,Moss,24,"('creative', 'easygoing', 'witty')","('procrastinator', 'aloof', 'messy')","('writing', 'video gaming', 'sketching')",Graphic Designer,Creative Surge,middle class,heterosexual,atheist,0,5.8,blond,blue,fair,average,ENGLISH,M,"('ENGLISH', 'M')"
23,Yvona,36,"('organized', 'ambitious', 'charismatic')","('workaholic', 'critical', 'impatient')","('dancing', 'travelling', 'yoga')",Marketing Manager,Charisma Wave,upper middle class,lesbian,christian,0,5.7,red,green,light,fit,SLAV,F,"('SLAV', 'F')"
24,Abdourahamane,40,"('calm', 'wise', 'patient')","('reserved', 'indecisive', 'inflexible')","('fishing', 'reading', 'woodworking')",Teacher,Wisdom Blast,upper middle class,heterosexual,sikh,0,5.11,black,brown,dark brown,stocky,AFRICAN,M,"('AFRICAN', 'M')"
25,Jordon,26,"('energetic', 'optimistic', 'friendly')","('naive', 'impulsive', 'talkative')","('basketball', 'music', 'gaming')",Sales Executive,Energy Boost,middle class,heterosexual,none,0,6.2,black,brown,tan,muscular,ENGLISH,M,"('ENGLISH', 'M')"
26,Hanshermann,55,"('analytical', 'disciplined', 'resourceful')","('stern', 'blunt', 'impatient')","('cycling', 'woodworking', 'gardening')",Architect,Design Master,upper middle class,heterosexual,agnostic,0,6.0,gray,blue,light,fit,GERMAN,M,"('GERMAN', 'M')"
27,Yuka,19,"('creative', 'introverted', 'thoughtful')","('shy', 'pessimistic', 'indecisive')","('writing', 'anime', 'languages')",Student,Mind Meld,middle class,asexual,buddhist,0,5.3,black,brown,pale,slim,JAPANESE,F,"('JAPANESE', 'F')"
28,Juhapekka,33,"('humble', 'loyal', 'practical')","('stubborn', 'reserved', 'secretive')","('skiing', 'sailing', 'brewing')",Engineer,Problem Solver,middle class,heterosexual,christian,0,6.1,blond,blue,fair,fit,NORDIC,M,"('NORDIC', 'M')"
29,Lioba,29,"('optimistic', 'adventurous', 'compassionate')","('impulsive', 'restless', 'sensitive')","('rock climbing', 'cooking', 'photography')",Travel Blogger,Adventure Strike,middle class,pansexual,spiritual but not religious,0,5.8,brown,hazel,tan,athletic,GERMAN,F,"('GERMAN', 'F')"
30,Drew,41,"('intellectual', 'ambitious', 'meticulous')","('obsessive', 'distant', 'arrogant')","('reading', 'chess', 'puzzles')",Scientist,Quantum Leap,upper middle class,heterosexual,jewish,0,5.1,black,green,light,average,ENGLISH,M,"('ENGLISH', 'M')"
31,Aharon,22,"('enthusiastic', 'athletic', 'hardworking')","('impulsive', 'competitive', 'distractible')","('soccer', 'painting', 'cooking')",Student,Speed Blitz,middle class,gay,hindu,0,5.9,brown,brown,olive,muscular,ISRAELI,M,"('ISRAELI', 'M')"
32,Arttu,30,"('creative', 'friendly', 'ingenious')","('indecisive', 'aloof', 'self-critical')","('drawing', 'movie making', 'cycling')",Film Maker,Film Magic,middle class,heterosexual,none,0,6.0,black,grey,pale,fit,NORDIC,M,"('NORDIC', 'M')"
33,Dewei,27,"('hardworking', 'loyal', 'empathetic')","('timid', 'pessimistic', 'perfectionist')","('martial arts', 'reading', 'travelling')",Research Scientist,Intellect Burst,middle class,heterosexual,taoist,0,5.7,black,brown,yellow,toned,CHINESE,M,"('CHINESE', 'M')"
34,Tomokatsu,43,"('disciplined', 'confident', 'wise')","('stern', 'aloof', 'unforgiving')","('painting', 'meditation', 'archery')",Historian,Time Manipulation,middle class,heterosexual,shinto,0,5.9,black,black,olive,slim,JAPANESE,M,"('JAPANESE', 'M')"
35,Friedhelm,60,"('analytical', 'dependable', 'strategic')","('stubborn', 'pessimistic', 'rigid')","('chess', 'gardening', 'photography')",Retired,Strategic Mastermind,middle class,heterosexual,prodfestant,0,5.1,grey,blue,fair,stocky,GERMAN,M,"('GERMAN', 'M')"
36,Adolf,45,"('charismatic', 'inventive', 'meticulous')","('arrogant', 'impulsive', 'impatient')","('mechanics', 'woodworking', 'travelling')",Engineer,Invention Craze,upper middle class,heterosexual,catholic,0,5.11,brown,green,light,muscular,GERMAN,M,"('GERMAN', 'M')"
37,Gyorgyi,34,"('friendly', 'optimistic', 'patient')","('gullible', 'clumsy', 'forgetful')","('cooking', 'reading', 'cycling')",Chef,Gourmet Flare,middle class,bisexual,none,0,5.4,brown,blue,white,average,HUNGARIAN,F,"('HUNGARIAN', 'F')"
38,Benicio,25,"('adventurous', 'brave', 'loyal')","('reckless', 'stubborn', 'impatient')","('surfing', 'photography', 'rock climbing')",Journalist,Wave Rider,middle class,heterosexual,catholic,0,6.0,black,brown,tan,athletic,HISPANIC,M,"('HISPANIC', 'M')"
39,Pricila,38,"('empathetic', 'organized', 'warm')","('overbearing', 'reserved', 'inflexible')","('yoga', 'painting', 'dancing')",Therapist,Emotional Heal,upper middle class,bisexual,christian,0,5.6,red,green,fair,average,HISPANIC,F,"('HISPANIC', 'F')"
40,Sharrilyn,29,"('empathetic', 'curious', 'resilient')","('impatient', 'indecisive', 'stubborn')","('painting', 'gardening', 'hiking')",Software Developer,Code Surge,middle-income,heterosexual,agnostic,0,5.6,black,brown,light brown,athletic,ENGLISH,F,"('ENGLISH', 'F')"
41,Chuanchuan,34,"('analytical', 'humorous', 'loyal')","('critical', 'reserved', 'overthinking')","('chess', 'cooking', 'sailing')",Chemist,Chemical Blast,middle-income,homosexual,none,0,5.8,brown,black,fair,slim,CHINESE,M,"('CHINESE', 'M')"
42,Wiebe,40,"('innovative', 'friendly', 'meticulous')","('perfectionist', 'stubborn', 'aloof')","('cycling', 'carpentry', 'bird watching')",Architect,Skyline Draw,high-income,heterosexual,spiritual but not religious,0,6.1,blonde,blue,fair,muscular,DUTCH,M,"('DUTCH', 'M')"
43,Hesam,28,"('determined', 'creative', 'kind')","('impulsive', 'introverted', 'sarcastic')","('sketching', 'reading', 'playing chess')",Graphic Designer,Design Flash,middle-income,bisexual,Muslim,0,5.9,black,green,olive,average,ARAB,M,"('ARAB', 'M')"
44,Syndie,33,"('charismatic', 'resourceful', 'optimistic')","('overconfident', 'workaholic', 'blunt')","('travelling', 'photography', 'yoga')",Entrepreneur,Networking Blast,high-income,heterosexual,Christian,0,5.7,brown,hazel,tan,slim,FRENCH,F,"('FRENCH', 'F')"
45,Laralyn,26,"('adventurous', 'caring', 'thoughtful')","('naive', 'sensitive', 'moody')","('writing', 'dancing', 'volunteering')",Journalist,Story Burst,middle-income,heterosexual,Buddhist,0,5.5,red,blue,fair,petite,ENGLISH,F,"('ENGLISH', 'F')"
46,Thatiane,36,"('intelligent', 'passionate', 'dedicated')","('perfectionist', 'impatient', 'stubborn')","('cooking', 'swimming', 'reading')",Doctor,Healing Wave,high-income,bisexual,Atheist,0,5.8,black,dark brown,brown,athletic,HISPANIC,F,"('HISPANIC', 'F')"
47,Rajabrata,32,"('compassionate', 'logical', 'innovative')","('overthinking', 'stubborn', 'introverted')","('gaming', 'hiking', 'astronomy')",Engineer,Tech Shock,middle-income,heterosexual,Hindu,0,5.1,black,black,dark brown,average,INDIAN,M,"('INDIAN', 'M')"
48,Mojtaba,45,"('wise', 'patient', 'supportive')","('reserved', 'critical', 'slow to change')","('gardening', 'reading', 'puzzle solving')",Teacher,Knowledge Pulse,middle-income,heterosexual,Muslim,0,6.0,grey,brown,olive,average,ARAB,M,"('ARAB', 'M')"
49,Mukti,41,"('determined', 'thoughtful', 'creative')","('stubborn', 'introverted', 'impulsive')","('painting', 'yoga', 'reading')",Artist,Art Burst,middle-income,lesbian,Hindu,0,5.5,black,dark brown,light brown,petite,INDIAN,F,"('INDIAN', 'F')"
50,Meiying,27,"('meticulous', 'resourceful', 'kind')","('overthinks', 'shy', 'competitive')","('baking', 'badminton', 'calligraphy')",Accountant,Precision Strike,middle-income,heterosexual,none,0,5.4,black,black,fair,slim,CHINESE,F,"('CHINESE', 'F')"
51,Omolara,30,"('charismatic', 'driven', 'empathetic')","('impatient', 'blunt', 'melodramatic')","('singing', 'dancing', 'fashion design')",Actress,Voice Wave,middle-income,heterosexual,Christian,0,5.7,black,black,dark brown,curvy,AFRICAN,F,"('AFRICAN', 'F')"
52,Jarin,38,"('logical', 'honest', 'resilient')","('curt', 'impatient', 'suspicious')","('fishing', 'woodworking', 'jogging')",Pilot,Jetstream,high-income,heterosexual,Jewish,0,6.0,black,hazel,tan,muscular,THAI,M,"('THAI', 'M')"
53,Floris,31,"('adventurous', 'creative', 'loyal')","('impulsive', 'impatient', 'stubborn')","('photography', 'cycling', 'cooking')",Photographer,Lens Flare,middle-income,bisexual,none,0,6.1,blonde,blue,fair,slim,DUTCH,M,"('DUTCH', 'M')"
54,Jieun,25,"('cheerful', 'motivated', 'focused')","('overzealous', 'naive', 'inflexible')","('drawing', 'running', 'learning languages')",Translator,Language Blast,middle-income,heterosexual,Buddhist,0,5.5,black,dark brown,fair,petite,KOREAN,F,"('KOREAN', 'F')"
55,Vyto,44,"('wise', 'determined', 'intelligent')","('stubborn', 'reserved', 'critical')","('chess', 'cycling', 'gardening')",Professor,Knowledge Beam,high-income,homosexual,none,0,5.11,grey,blue,fair,average,BALTIC,M,"('BALTIC', 'M')"
56,Tsukimi,27,"('thoughtful', 'creative', 'independent')","('stubborn', 'reserved', 'overthinking')","('calligraphy', 'astronomy', 'video games')",Designer,Design Wave,middle-income,bisexual,Shinto,0,5.3,black,brown,light brown,slim,JAPANESE,F,"('JAPANESE', 'F')"
57,Deepali,35,"('compassionate', 'driven', 'down-to-earth')","('perfectionist', 'overworked', 'stubborn')","('cooking', 'yoga', 'reading')",Doctor,Healing Touch,middle-income,heterosexual,Hindu,0,5.6,black,brown,tanned,average,INDIAN,F,"('INDIAN', 'F')"
58,Juozapas,39,"('analytical', 'dedicated', 'supportive')","('overthinking', 'reserved', 'blunt')","('fishing', 'hiking', 'woodworking')",Engineer,Tech Burst,middle-income,heterosexual,Catholic,0,6.0,brown,green,fair,muscular,BALTIC,M,"('BALTIC', 'M')"
59,Heraldo,28,"('charismatic', 'quick-witted', 'optimistic')","('impatient', 'dramatic', 'stubborn')","('festival organizing', 'dancing', 'acting')",Event Planner,Party Blast,middle-income,bisexual,none,0,5.9,black,blue,tan,slim,HISPANIC,M,"('HISPANIC', 'M')"
60,Athanasia,28,"('curious', 'compassionate', 'resourceful')","('impatient', 'stubborn', 'introverted')","('reading', 'hiking', 'photography')",biologist,Eagle Eye,middle class,heterosexual,atheist,0,5.5,brown,green,olive,slender,GREEK,F,"('GREEK', 'F')"
61,Laddawan,35,"('thoughtful', 'independent', 'humorous')","('critical', 'secretive', 'anxious')","('cooking', 'traveling', 'painting')",architect,Blueprint Strike,upper middle class,bisexual,buddhist,0,5.7,black,brown,tan,athletic,THAI,F,"('THAI', 'F')"
62,Henriikka,29,"('creative', 'determined', 'friendly')","('impulsive', 'moody', 'sensitive')","('writing', 'gardening', 'cycling')",journalist,Ink Storm,middle class,lesbian,christian,0,5.6,blonde,blue,fair,slim,NORDIC,F,"('NORDIC', 'F')"
63,Ewout,31,"('logical', 'analytical', 'loyal')","('blunt', 'reserved', 'skeptical')","('chess', 'programming', 'swimming')",software engineer,Code Breaker,upper middle class,heterosexual,agnostic,0,6.1,dark brown,gray,light,lean,DUTCH,M,"('DUTCH', 'M')"
64,Sybille,42,"('empathetic', 'dedicated', 'patient')","('overwhelmed', 'perfectionist', 'workaholic')","('yoga', 'baking', 'reading')",therapist,Mind Melt,middle class,asexual,spiritual,0,5.4,auburn,hazel,light tan,average,GERMAN,F,"('GERMAN', 'F')"
65,Aleksas,39,"('charismatic', 'ambitious', 'disciplined')","('arrogant', 'controlling', 'impatient')","('playing piano', 'fencing', 'reading')",lawyer,Gavel Slam,upper class,heterosexual,catholic,0,6.2,black,green,olive,muscular,BALTIC,M,"('BALTIC', 'M')"
66,Daiva,26,"('adventurous', 'kind-hearted', 'optimistic')","('naive', 'gullible', 'restless')","('dancing', 'mountaineering', 'volunteering')",teacher,Knowledge Burst,middle class,pansexual,agnostic,0,5.3,dark blond,brown,fair,petite,BALTIC,F,"('BALTIC', 'F')"
67,Tero,33,"('outgoing', 'generous', 'practical')","('obstinate', 'impulsive', 'skeptical')","('fishing', 'woodworking', 'jogging')",mechanic,Torque Twist,working class,heterosexual,deist,0,5.9,brown,blue,fair,broad,NORDIC,M,"('NORDIC', 'M')"
68,Sherwyn,40,"('intelligent', 'polite', 'adaptable')","('aloof', 'cynical', 'obsessive')","('astronomy', 'coding', 'running')",research scientist,Stellar Burst,middle class,homosexual,atheist,0,6.0,gray,dark brown,tan,average,ENGLISH,M,"('ENGLISH', 'M')"
69,Coen,27,"('energetic', 'inventive', 'confident')","('hyperactive', 'boisterous', 'impatient')","('drumming', 'drawing', 'gaming')",graphic designer,Pixel Blast,middle class,bisexual,spiritually inclined,0,6.0,blonde,blue,light,sleek,DUTCH,M,"('DUTCH', 'M')"
70,Eucharia,34,"('optimistic', 'fearless', 'independent')","('reckless', 'sarcastic', 'impatient')","('skydiving', 'sculpting', 'surfing')",pilot,Turbulence Strike,upper middle class,pansexual,agnostic,0,5.8,red,gray,fair,athletic,AFRICAN,F,"('AFRICAN', 'F')"
71,Andreza,25,"('empathetic', 'enthusiastic', 'charitable')","('indecisive', 'overwhelmed', 'emotional')","('photography', 'dancing', 'baking')",nurse,Healing Touch,middle class,heterosexual,catholic,0,5.5,dark brown,light brown,medium,petite,HISPANIC,F,"('HISPANIC', 'F')"
72,Okechukwu,37,"('thoughtful', 'determined', 'calm')","('stoic', 'pessimistic', 'secretive')","('reading', 'jogging', 'playing chess')",professor,Knowledge Surge,upper middle class,heterosexual,christian,0,6.0,black,brown,dark,slim,AFRICAN,M,"('AFRICAN', 'M')"
73,Shumei,32,"('analytical', 'perceptive', 'serious')","('distant', 'stern', 'critical')","('puzzle solving', 'meditation', 'calligraphy')",data scientist,Data Wave,middle class,heterosexual,buddhist,0,5.6,black,black,light tan,average,CHINESE,F,"('CHINESE', 'F')"
74,Breonna,30,"('confident', 'diligent', 'friendly')","('stubborn', 'blunt', 'impatient')","('hiking', 'crafting', 'singing')",marketing manager,Brand Blast,middle class,pansexual,spiritual,0,5.7,black,brown,medium,curvy,ENGLISH,F,"('ENGLISH', 'F')"
75,Sehoon,28,"('charming', 'funny', 'intuitive')","('restless', 'impulsive', 'sarcastic')","('playing guitar', 'drawing', 'gaming')",musician,Sound Wave,middle class,bisexual,non-religious,0,5.8,dark brown,black,light brown,lean,KOREAN,M,"('KOREAN', 'M')"
76,Kazuyo,45,"('wise', 'patient', 'kind')","('overprotective', 'stern', 'secretive')","('gardening', 'pottery', 'bird watching')",botanist,Floral Frenzy,middle class,heterosexual,buddhist,0,5.6,gray,brown,fair,robust,JAPANESE,F,"('JAPANESE', 'F')"
77,Tikva,29,"('optimistic', 'enthusiastic', 'compassionate')","('gullible', 'anxious', 'indecisive')","('knitting', 'writing', 'gardening')",counselor,Hope Strike,middle class,lesbian,jewish,0,5.5,brunette,green,light brown,average,ISRAELI,F,"('ISRAELI', 'F')"
78,Tulika,41,"('creative', 'intelligent', 'persistent')","('perfectionist', 'aloof', 'impatient')","('painting', 'reading', 'yoga')",art curator,Color Burst,upper middle class,heterosexual,hindu,0,5.6,black,brown,medium,average,INDIAN,F,"('INDIAN', 'F')"
79,Tugomir,36,"('considerate', 'loyal', 'principled')","('stubborn', 'introverted', 'pessimistic')","('fishing', 'hiking', 'woodworking')",forester,Nature's Wrath,working class,heterosexual,orthodox christian,0,6.0,light brown,blue,fair,athletic,SLAV,M,"('SLAV', 'M')"
80,Abdoul,31,"('compassionate', 'curious', 'optimistic')","('impatient', 'introverted', 'stubborn')","('reading', 'coding', 'cycling')",software developer,code surge,middle class,heterosexual,agnostic,0,5.9,black,brown,dark,athletic,AFRICAN,M,"('AFRICAN', 'M')"
81,Mahdokht,28,"('creative', 'independent', 'thoughtful')","('stubborn', 'moody', 'perfectionist')","('painting', 'traveling', 'yoga')",graphic designer,design blitz,upper middle class,bisexual,none,0,5.5,brown,green,light,slim,ARAB,F,"('ARAB', 'F')"
82,Angiola,42,"('kind', 'intelligent', 'reliable')","('overthinking', 'critical', 'workaholic')","('gardening', 'cooking', 'hiking')",botanist,flora flourish,middle class,heterosexual,Christian,0,5.6,blonde,blue,fair,average,ITALIAN,F,"('ITALIAN', 'F')"
83,Mariliis,35,"('meticulous', 'pragmatic', 'witty')","('cynical', 'aloof', 'skeptical')","('playing chess', 'programming', 'piano')",financial analyst,strategy strike,upper middle class,lesbian,atheist,0,5.7,black,grey,olive,lean,NORDIC,F,"('NORDIC', 'F')"
84,Vaclava,26,"('friendly', 'diligent', 'creative')","('naive', 'disorganized', 'overly trusting')","('photography', 'dancing', 'volunteering')",social worker,empathy wave,lower middle class,heterosexual,none,0,5.5,auburn,hazel,tanned,curvy,SLAV,F,"('SLAV', 'F')"
85,Maayke,30,"('empathetic', 'calm', 'resourceful')","('indecisive', 'reserved', 'melancholic')","('knitting', 'reading', 'bird watching')",librarian,literary barrage,middle class,asexual,Buddhist,0,5.8,grey,brown,pale,average,DUTCH,F,"('DUTCH', 'F')"
86,Changsik,34,"('enthusiastic', 'organized', 'visionary')","('impatient', 'blunt', 'competitive')","('woodworking', 'running', 'electronics projects')",engineer,techno surge,middle class,heterosexual,Shinto,0,5.9,black,dark brown,medium,muscular,KOREAN,M,"('KOREAN', 'M')"
87,Sibel,29,"('courageous', 'loyal', 'intuitive')","('stubborn', 'impulsive', 'short-tempered')","('martial arts', 'gardening', 'baking')",physical therapist,healing touch,middle class,pansexual,agnostic,0,5.4,black,brown,dark,athletic,TURKISH,F,"('TURKISH', 'F')"
88,Steffi,37,"('ambitious', 'confident', 'charismatic')","('self-centered', 'workaholic', 'short-tempered')","('tennis', 'fashion design', 'public speaking')",entrepreneur,networking blitz,upper class,heterosexual,none,0,6.0,red,green,fair,toned,GERMAN,F,"('GERMAN', 'F')"
89,Ghislain,40,"('intellectual', 'patient', 'rational')","('aloof', 'pedantic', 'pessimistic')","('writing', 'fishing', 'philosophy')",professor,knowledge burst,middle class,gay,atheist,0,5.8,salt & pepper,blue,fair,average,FRENCH,M,"('FRENCH', 'M')"
90,Tokiyoshi,45,"('wise', 'disciplined', 'courteous')","('stubborn', 'serious', 'aloof')","('tea ceremony', 'calligraphy', 'archery')",historian,time warp,middle class,heterosexual,Shinto,0,5.7,black,dark brown,medium,slim,JAPANESE,M,"('JAPANESE', 'M')"
91,Anucha,32,"('inventive', 'adaptable', 'cheerful')","('scatterbrained', 'impatient', 'restless')","('robotics', 'sculpting', 'surfing')",robotics engineer,mech surge,upper middle class,bisexual,Buddhist,0,5.9,black,black,tan,average,THAI,M,"('THAI', 'M')"
92,Hansgeorg,38,"('analytical', 'diligent', 'humorous')","('critical', 'reserved', 'pessimistic')","('fencing', 'cooking', 'coding')",data scientist,data strike,upper middle class,heterosexual,atheist,0,6.1,blonde,blue,fair,muscular,GERMAN,M,"('GERMAN', 'M')"
93,Tsuyako,27,"('empathetic', 'spontaneous', 'thoughtful')","('over-sensitive', 'messy', 'forgetful')","('origami', 'gaming', 'meditation')",video game designer,creative burst,middle class,queer,agnostic,0,5.3,dark brown,brown,light,petite,JAPANESE,F,"('JAPANESE', 'F')"
94,Vatsal,36,"('dedicated', 'innovative', 'generous')","('overbearing', 'impatient', 'impulsive')","('cricket', 'painting', 'traveling')",architect,structure craft,upper middle class,heterosexual,Hindu,0,5.1,black,black,olive,average,INDIAN,M,"('INDIAN', 'M')"
95,Necmi,33,"('friendly', 'resourceful', 'logical')","('stubborn', 'overthinking', 'introverted')","('cycling', 'photography', 'reading')",journalist,story weave,middle class,heterosexual,none,0,5.11,black,brown,medium,average,TURKISH,M,"('TURKISH', 'M')"
96,Eunsil,25,"('ambitious', 'empathetic', 'creative')","('perfectionist', 'impulsive', 'sensitive')","('violin', 'sketching', 'running')",fashion designer,design flair,middle class,bisexual,agnostic,0,5.6,black,brown,light,slim,KOREAN,F,"('KOREAN', 'F')"
97,Raewyn,29,"('optimistic', 'diligent', 'kind')","('procrastinator', 'shy', 'indecisive')","('hiking', 'bird watching', 'writing poetry')",environmental scientist,nature surge,middle class,lesbian,none,0,5.7,brown,blue,fair,average,ENGLISH,F,"('ENGLISH', 'F')"
98,Hirobumi,50,"('experienced', 'wise', 'strategic')","('stubborn', 'reserved', 'workaholic')","('reading history', 'archery', 'calligraphy')",CEO,executive decision,upper class,heterosexual,Shinto,0,6.0,silver,brown,medium,athletic,JAPANESE,M,"('JAPANESE', 'M')"
99,Cees,39,"('rational', 'witty', 'practical')","('cynical', 'sarcastic', 'impatient')","('cycling', 'gardening', 'collecting stamps')",economist,economic burst,upper middle class,heterosexual,none,0,5.11,brown,hazel,fair,average,DUTCH,M,"('DUTCH', 'M')"
100,Cheolwoong,28,"('curious', 'compassionate', 'meticulous')","('impatient', 'stubborn', 'introverted')","('origami', 'hiking', 'photography')",Data Scientist,Analytical Insight,middle_class,heterosexual,agnostic,0,5.8,black,brown,fair,slim,KOREAN,M,"('KOREAN', 'M')"
101,Andreas,35,"('dynamic', 'optimistic', 'attentive')","('impulsive', 'critical', 'anxious')","('sailing', 'painting', 'woodworking')",Architect,Creative Vision,upper_middle_class,heterosexual,spiritual,0,6.1,blonde,blue,fair,athletic,GERMAN,M,"('GERMAN', 'M')"
102,Mehri,29,"('empathetic', 'adaptable', 'resourceful')","('insecure', 'secretive', 'restless')","('cooking', 'gardening', 'yoga')",Social Worker,Healing Touch,middle_class,bisexual,agnostic,0,5.5,brown,hazel,olive,average,ARAB,F,"('ARAB', 'F')"
