,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
10,Moussa,28,"('Analytical', 'Curious', 'Empathetic')","('Indecisive', 'Stubborn', 'Procrastinates')","('Playing chess', 'Hiking', 'Cooking')",Software Developer,Rapid Code Typing,Middle Class,Heterosexual,Islam,0,5.9,Black,Brown,Brown,Slim,AFRICAN,M,"('AFRICAN', 'M')"
11,Vered,35,"('Creative', 'Optimistic', 'Passionate')","('Disorganized', 'Impulsive', 'Sensitive')","('Painting', 'Yoga', 'Gardening')",Art Therapist,Empathetic Listening,Middle Class,Bisexual,Judaism,0,5.5,Brown,Hazel,Olive,Average,ISRAELI,F,"('ISRAELI', 'F')"
12,Xingwang,42,"('Disciplined', 'Honest', 'Practical')","('Workaholic', 'Inflexible', 'Blunt')","('Tai Chi', 'Calligraphy', 'Collecting Antiques')",University Professor,Scholarly Lecture,Upper Middle Class,Heterosexual,Confucianism,0,5.8,Black,Brown,Tan,Average,CHINESE,M,"('CHINESE', 'M')"
13,Geertjan,26,"('Adventurous', 'Friendly', 'Spontaneous')","('Reckless', 'Scatterbrained', 'Flaky')","('Surfing', 'Playing guitar', 'Backpacking')",Travel Blogger,Impromptu Comedy,Middle Class,Heterosexual,Agnostic,0,6.1,Blond,Blue,White,Athletic,DUTCH,M,"('DUTCH', 'M')"
14,Diomidis,52,"('Charismatic', 'Assertive', 'Strategic')","('Demanding', 'Impatient', 'Proud')","('Sailing', 'Playing poker', 'Wine tasting')",Corporate Executive,Persuasive Negotiation,Upper Class,Heterosexual,Greek Orthodox,0,5.11,Salt and pepper,Green,Olive,Average,GREEK,M,"('GREEK', 'M')"
15,Meixia,31,"('Ambitious', 'Intelligent', 'Reserved')","('Perfectionist', 'Guarded', 'Overthinks')","('Playing violin', 'Reading', 'Watching documentaries')",Data Scientist,Data Analysis,Middle Class,Heterosexual,Buddhism,0,5.4,Black,Brown,Tan,Petite,CHINESE,F,"('CHINESE', 'F')"
16,Danka,44,"('Compassionate', 'Dedicated', 'Nurturing')","('Self-critical', 'Overworked', 'Worrier')","('Knitting', 'Volunteering', 'Baking')",Nurse,Comforting Patients,Working Class,Homosexual,Christianity,0,5.6,Red,Blue,Pale,Curvy,SLAV,F,"('SLAV', 'F')"
17,Yunhee,23,"('Energetic', 'Trendy', 'Confident')","('Gossips', 'Vain', 'FOMO')","('Dancing', 'Shopping', 'Selfies')",Social Media Influencer,Viral TikTok,Middle Class,Pansexual,Atheist,0,5.2,Ombre,Brown,Tan,Slim,KOREAN,F,"('KOREAN', 'F')"
18,Kuninori,67,"('Wise', 'Traditional', 'Stoic')","('Stubborn', 'Critical', 'Aloof')","('Bonsai', 'Tea ceremonies', 'Origami')",Retired Teacher,Wise Proverb,Middle Class,Heterosexual,Shinto,0,5.5,Grey,Brown,Tan,Slim,JAPANESE,M,"('JAPANESE', 'M')"
19,Jemma,19,"('Imaginative', 'Quirky', 'Independent')","('Rebellious', 'Sarcastic', 'Cynical')","('Writing poetry', 'Thrifting vintage clothes', 'Attending music festivals')",Barista/Aspiring Novelist,Witty Comeback,Working Class,Bisexual,Wiccan,0,5.7,Pink,Grey,Pale,Thin,ENGLISH,F,"('ENGLISH', 'F')"
20,Fransjaco,35,"('analytical', 'curious', 'compassionate')","('impatient', 'stubborn', 'indecisive')","('photography', 'cooking', 'hiking')",software engineer,break dancing,middle class,heterosexual,agnostic,0,5.8,brown,hazel,fair,slim,DUTCH,M,"('DUTCH', 'M')"
21,Waheedah,28,"('creative', 'optimistic', 'empathetic')","('forgetful', 'anxious', 'impulsive')","('painting', 'gardening', 'yoga')",graphic designer,playing the ukulele,middle class,bisexual,spiritual,0,5.6,black,brown,olive,average,ARAB,F,"('ARAB', 'F')"
22,Moss,42,"('charismatic', 'resourceful', 'adaptable')","('cynical', 'sarcastic', 'commitment-phobic')","('playing chess', 'collecting antiques', 'mixology')",lawyer,solving puzzles,upper middle class,gay,atheist,0,6.1,salt and pepper,blue,light,athletic,ENGLISH,M,"('ENGLISH', 'M')"
23,Yvona,24,"('ambitious', 'independent', 'witty')","('blunt', 'workaholic', 'perfectionistic')","('rock climbing', 'learning languages', 'attending comedy shows')",marketing manager,freestyle rapping,middle class,lesbian,agnostic,0,5.4,blonde,green,fair,petite,SLAV,F,"('SLAV', 'F')"
24,Abdourahamane,52,"('patient', 'wise', 'nurturing')","('overprotective', 'slow to change', 'conflict-avoidant')","('woodworking', 'volunteering', 'reading philosophy')",teacher,mediating conflicts,middle class,heterosexual,muslim,0,5.9,black,dark brown,dark,average,AFRICAN,M,"('AFRICAN', 'M')"
25,Jordon,31,"('adventurous', 'charismatic', 'spontaneous')","('flaky', 'attention-seeking', 'reckless')","('skateboarding', 'trying new foods', 'attending music festivals')",travel blogger,juggling fire,lower middle class,pansexual,spiritual,0,5.7,red,blue,freckled,slim,ENGLISH,M,"('ENGLISH', 'M')"
26,Hanshermann,61,"('disciplined', 'traditional', 'loyal')","('rigid', 'critical', 'aloof')","('golfing', 'collecting stamps', 'bird watching')",retired banker,reciting poetry,upper class,heterosexual,protestant,0,6.0,gray,blue,light,portly,GERMAN,M,"('GERMAN', 'M')"
27,Yuka,26,"('innovative', 'driven', 'composed')","('blunt', 'competitive', 'mistrustful')","('practicing martial arts', 'playing video games', 'watching anime')",data scientist,hacking,middle class,asexual,shinto,0,5.2,black with blue streaks,dark brown,light,slim,JAPANESE,F,"('JAPANESE', 'F')"
28,Juhapekka,39,"('introspective', 'sincere', 'observant')","('shy', 'indecisive', 'self-critical')","('writing poetry', 'stargazing', 'playing the piano')",librarian,remembering random facts,middle class,heterosexual,lutheran,0,5.9,blonde,blue-gray,fair,average,NORDIC,M,"('NORDIC', 'M')"
29,Lioba,45,"('passionate', 'decisive', 'energetic')","('stubborn', 'impulsive', 'short-tempered')","('horseback riding', 'dancing salsa', 'mentoring youth')",politician,delivering inspiring speeches,upper middle class,heterosexual,catholic,0,5.8,auburn,hazel,olive,curvy,GERMAN,F,"('GERMAN', 'F')"
30,Drew,35,"('Analytical', 'Thoughtful', 'Driven')","('Impatient', 'Stubborn', 'Perfectionist')","('Photography', 'Hiking', 'Playing chess')",Accountant,Speed reading,Middle class,Heterosexual,Agnostic,0,5.8,Brown,Blue,Light,Athletic,ENGLISH,M,"('ENGLISH', 'M')"
31,Aharon,28,"('Creative', 'Adventurous', 'Empathetic')","('Disorganized', 'Impulsive', 'Sensitive')","('Painting', 'Cooking', 'Volunteering')",Graphic designer,Beatboxing,Working class,Bisexual,Jewish,0,5.11,Black,Brown,Olive,Slim,ISRAELI,M,"('ISRAELI', 'M')"
32,Arttu,42,"('Confident', 'Charismatic', 'Ambitious')","('Arrogant', 'Workaholic', 'Jealous')","('Golfing', 'Traveling', 'Wine tasting')",Sales manager,Public speaking,Upper middle class,Heterosexual,Atheist,0,6.1,Blond,Green,Fair,Muscular,NORDIC,M,"('NORDIC', 'M')"
33,Dewei,23,"('Curious', 'Optimistic', 'Loyal')","('Naive', 'Indecisive', 'Shy')","('Playing video games', 'Coding', 'Watching anime')",Computer science student,Speed typing,Middle class,Asexual,Buddhist,0,5.6,Black,Brown,Tan,Slim,CHINESE,M,"('CHINESE', 'M')"
34,Tomokatsu,56,"('Disciplined', 'Honorable', 'Wise')","('Rigid', 'Stern', 'Distant')","('Practicing calligraphy', 'Gardening', 'Meditating')",Retired banker,Origami,Upper class,Heterosexual,Shinto,0,5.5,Gray,Brown,Light,Average,JAPANESE,M,"('JAPANESE', 'M')"
35,Friedhelm,62,"('Intelligent', 'Introverted', 'Sarcastic')","('Cynical', 'Stubborn', 'Grumpy')","('Reading philosophy books', 'Listening to classical music', 'Playing chess')",University professor,Solving complex equations,Upper middle class,Heterosexual,Protestant,0,5.9,White,Blue,Light,Slim,GERMAN,M,"('GERMAN', 'M')"
36,Adolf,45,"('Charming', 'Ambitious', 'Persuasive')","('Manipulative', 'Selfish', 'Reckless')","('Playing poker', 'Collecting antiques', 'Horseback riding')",Lawyer,Convincing arguments,Upper class,Heterosexual,Catholic,0,6,Brown,Brown,Light,Athletic,GERMAN,M,"('GERMAN', 'M')"
37,Gyorgyi,31,"('Independent', 'Passionate', 'Open-minded')","('Impatient', 'Blunt', 'Restless')","('Dancing', 'Traveling', 'Learning new languages')",Journalist,Investigative reporting,Middle class,Pansexual,Agnostic,0,5.7,Red,Green,Fair,Curvy,HUNGARIAN,F,"('HUNGARIAN', 'F')"
38,Benicio,52,"('Charismatic', 'Confident', 'Energetic')","('Impulsive', 'Vain', 'Flirtatious')","('Salsa dancing', 'Collecting art', 'Playing football')",Actor,Improvisation,Upper class,Heterosexual,Catholic,0,5.1,Black,Brown,Tan,Fit,HISPANIC,M,"('HISPANIC', 'M')"
39,Pricila,26,"('Compassionate', 'Determined', 'Hard-working')","('Anxious', 'People-pleasing', 'Sensitive')","('Volunteering at animal shelters', 'Baking', 'Practicing yoga')",Nurse,Calming presence,Working class,Heterosexual,Christian,0,5.3,Brown,Brown,Olive,Petite,HISPANIC,F,"('HISPANIC', 'F')"
40,Sharrilyn,37,"('Introspective', 'Loyal', 'Curious')","('Impatient', 'Stubborn', 'Blunt')","('Photography', 'Hiking', 'Cooking')",Accountant,Quick mental math,Middle class,Heterosexual,Agnostic,0,5ft 5in,Brown,Brown,Olive,Athletic,ENGLISH,F,"('ENGLISH', 'F')"
41,Chuanchuan,25,"('Adventurous', 'Creative', 'Empathetic')","('Disorganized', 'Indecisive', 'Sensitive')","('Rock climbing', 'Painting', 'Volunteering')",Graphic designer,Speed sketching,Middle class,Bisexual,Buddhist,0,5ft 10in,Black,Brown,Fair,Slim,CHINESE,M,"('CHINESE', 'M')"
42,Wiebe,43,"('Analytical', 'Independent', 'Sarcastic')","('Aloof', 'Skeptical', 'Rigid')","('Chess', 'Reading', 'Golfing')",Software engineer,Algorithmic thinking,Upper middle class,Homosexual,Atheist,0,6ft 2in,Blonde,Blue,Fair,Stocky,DUTCH,M,"('DUTCH', 'M')"
43,Hesam,29,"('Charismatic', 'Adaptable', 'Ambitious')","('Impulsive', 'Arrogant', 'Manipulative')","('Basketball', 'Dancing', 'Networking')",Sales manager,Persuasive pitch,Middle class,Heterosexual,Muslim,0,5ft 9in,Black,Brown,Light brown,Muscular,ARAB,M,"('ARAB', 'M')"
44,Syndie,19,"('Energetic', 'Optimistic', 'Imaginative')","('Naive', 'Restless', 'Flighty')","('Poetry', 'Yoga', 'Urban exploration')",College student,Freestyle rap,Lower middle class,Pansexual,Spiritual but not religious,0,5ft 3in,Purple,Green,Pale,Petite,FRENCH,F,"('FRENCH', 'F')"
45,Laralyn,52,"('Nurturing', 'Pragmatic', 'Sociable')","('Overprotective', 'Inflexible', 'Gossipy')","('Baking', 'Gardening', 'Community theater')",Elementary school teacher,Calming presence,Middle class,Heterosexual,Christian,0,5ft 6in,Auburn,Hazel,Beige,Curvy,ENGLISH,F,"('ENGLISH', 'F')"
46,Thatiane,35,"('Passionate', 'Assertive', 'Resourceful')","('Competitive', 'Distrustful', 'Temperamental')","('Martial arts', 'Motorcycling', 'Video gaming')",Police officer,Tactical maneuvers,Working class,Heterosexual,Catholic,0,5ft 7in,Dark brown,Brown,Tan,Athletic,HISPANIC,F,"('HISPANIC', 'F')"
47,Rajabrata,61,"('Wise', 'Patient', 'Disciplined')","('Strict', 'Stuck in ways', 'Unexpressive')","('Meditation', 'Calligraphy', 'Tea ceremonies')",Retired professor,Reciting ancient texts,Upper middle class,Heterosexual,Hindu,0,5ft 8in,Silver,Brown,Medium brown,Slim,INDIAN,M,"('INDIAN', 'M')"
48,Mojtaba,27,"('Charming', 'Driven', 'Innovative')","('Anxious', 'Vain', 'Workaholic')","('Entrepreneurship', 'Fashion', 'Socializing')",Marketing executive,Trend spotting,Upper middle class,Homosexual,Agnostic Muslim,0,6ft,Black,Dark brown,Olive,Fit,ARAB,M,"('ARAB', 'M')"
49,Mukti,44,"('Compassionate', 'Idealistic', 'Inquisitive')","('Self-critical', 'Indulgent', 'Disorganized')","('Animal rescue', 'Travelling', 'Documentary filmmaking')",Veterinarian,Caring for creatures,Middle class,Bisexual,Spiritual,0,5ft 4in,Black,Dark brown,Brown,Plump,INDIAN,F,"('INDIAN', 'F')"
50,Meiying,27,"('adventurous', 'analytical', 'compassionate')","('impatient', 'stubborn', 'indecisive')","('photography', 'hiking', 'cooking')",software engineer,problem-solving,middle class,heterosexual,agnostic,0,5.5,black,brown,tan,athletic,CHINESE,F,"('CHINESE', 'F')"
51,Omolara,35,"('creative', 'intuitive', 'charismatic')","('disorganized', 'impulsive', 'jealous')","('writing poetry', 'dancing', 'gardening')",marketing manager,public speaking,upper middle class,bisexual,spiritual,0,5.8,dark brown,hazel,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
52,Jarin,42,"('ambitious', 'disciplined', 'protective')","('workaholic', 'controlling', 'pessimistic')","('golfing', 'reading non-fiction', 'wine tasting')",financial advisor,networking,upper class,homosexual,jewish,0,5.11,salt and pepper,blue,light,stocky,THAI,M,"('THAI', 'M')"
53,Floris,23,"('free-spirited', 'empathetic', 'outgoing')","('naive', 'indulgent', 'scattered')","('surfing', 'volunteering', 'attending music festivals')",graphic designer,adaptability,middle class,pansexual,atheist,0,5.9,blonde,green,fair,slim,DUTCH,M,"('DUTCH', 'M')"
54,Jieun,19,"('diligent', 'reserved', 'imaginative')","('rigid', 'shy', 'perfectionist')","('playing the violin', 'studying languages', 'watching anime')",university student,keen observation,lower middle class,asexual,buddhist,0,5.2,black,dark brown,pale,petite,KOREAN,F,"('KOREAN', 'F')"
55,Vyto,56,"('wise', 'caring', 'reliable')","('old-fashioned', 'overprotective', 'gullible')","('woodworking', 'fishing', 'collecting antiques')",retired teacher,mentoring others,working class,heterosexual,catholic,0,5.7,grey,blue,olive,portly,BALTIC,M,"('BALTIC', 'M')"
56,Tsukimi,38,"('introspective', 'kind', 'dedicated')","('moody', 'self-critical', 'distant')","('attending tea ceremonies', 'calligraphy', 'contemplating nature')",accountant,attention to detail,middle class,bisexual,shinto,0,5.4,dark brown,brown,medium,slender,JAPANESE,F,"('JAPANESE', 'F')"
57,Deepali,29,"('confident', 'curious', 'perceptive')","('sarcastic', 'blunt', 'restless')","('kickboxing', 'traveling', 'trying new restaurants')",journalist,investigative instincts,middle class,heterosexual,hindu,0,5.6,black,dark brown,brown,fit,INDIAN,F,"('INDIAN', 'F')"
58,Juozapas,62,"('practical', 'honest', 'loyal')","('stubborn', 'grumpy', 'technophobic')","('carpentry', 'folk dancing', 'going to church')",carpenter,manual dexterity,working class,heterosexual,lutheran,0,5.1,white,grey,fair,sturdy,BALTIC,M,"('BALTIC', 'M')"
59,Heraldo,32,"('charming', 'resourceful', 'persuasive')","('arrogant', 'impatient', 'flaky')","('salsa dancing', 'trying extreme sports', 'flirting')",sales representative,closing deals,middle class,heterosexual,catholic,0,6.1,dark brown,hazel,tan,muscular,HISPANIC,M,"('HISPANIC', 'M')"
60,Athanasia,37,"('analytical', 'compassionate', 'honest')","('stubborn', 'impatient', 'hesitant')","('hiking', 'painting', 'learning languages')",software engineer,problem-solving,middle class,heterosexual,agnostic,0,5.6,black,brown,olive,slim,GREEK,F,"('GREEK', 'F')"
61,Laddawan,42,"('energetic', 'optimistic', 'decisive')","('forgetful', 'anxious', 'sarcastic')","('cooking', 'photography', 'playing chess')",restaurant owner,multitasking,upper middle class,homosexual,buddhist,0,5.4,brown,hazel,tan,average,THAI,F,"('THAI', 'F')"
62,Henriikka,28,"('creative', 'introverted', 'observant')","('indecisive', 'critical', 'aloof')","('reading', 'gardening', 'playing the piano')",librarian,speed reading,middle class,bisexual,atheist,0,5.7,blonde,blue,fair,curvy,NORDIC,F,"('NORDIC', 'F')"
63,Ewout,52,"('patient', 'reliable', 'practical')","('inflexible', 'possessive', 'short-tempered')","('woodworking', 'fishing', 'watching documentaries')",high school teacher,public speaking,middle class,heterosexual,protestant,0,6.0,grey,green,light,muscular,DUTCH,M,"('DUTCH', 'M')"
64,Sybille,24,"('adventurous', 'charismatic', 'independent')","('impulsive', 'blunt', 'rebellious')","('rock climbing', 'traveling', 'playing the guitar')",freelance writer,adaptability,lower middle class,pansexual,spiritual but not religious,0,5.5,red,grey,pale,petite,GERMAN,F,"('GERMAN', 'F')"
65,Aleksas,31,"('ambitious', 'charismatic', 'resourceful')","('arrogant', 'manipulative', 'jealous')","('playing basketball', 'collecting watches', 'attending networking events')",financial analyst,persuasion,upper middle class,heterosexual,catholic,0,6.2,dark brown,amber,tan,athletic,BALTIC,M,"('BALTIC', 'M')"
66,Daiva,48,"('nurturing', 'empathetic', 'traditional')","('overprotective', 'sensitive', 'indecisive')","('baking', 'knitting', 'volunteering at a local animal shelter')",nurse practitioner,active listening,middle class,heterosexual,orthodox christian,0,5.3,light brown,blue,fair,full-figured,BALTIC,F,"('BALTIC', 'F')"
67,Tero,39,"('curious', 'creative', 'laid-back')","('disorganized', 'procrastinating', 'easily distracted')","('playing video games', 'watching sci-fi movies', 'experimenting with new technologies')",graphic designer,brainstorming,middle class,homosexual,agnostic,0,5.9,blonde,blue,light,slim,NORDIC,M,"('NORDIC', 'M')"
68,Sherwyn,55,"('disciplined', 'wise', 'loyal')","('stubborn', 'serious', 'over-analytical')","('practicing martial arts', 'reading philosophy books', 'mentoring youth')",university professor,critical thinking,upper middle class,heterosexual,hindu,0,5.8,salt and pepper,dark brown,brown,fit,ENGLISH,M,"('ENGLISH', 'M')"
69,Coen,22,"('friendly', 'spontaneous', 'open-minded')","('naive', 'indecisive', 'people-pleasing')","('playing soccer', 'attending music festivals', 'trying out new restaurants')",university student,networking,middle class,questioning,agnostic,0,5.11,blonde,green,fair,lanky,DUTCH,M,"('DUTCH', 'M')"
70,Eucharia,35,"('ambitious', 'analytical', 'empathetic')","('impatient', 'stubborn', 'indecisive')","('hiking', 'painting', 'reading')",software engineer,speed reading,middle class,heterosexual,agnostic,0,5.6,black,brown,dark brown,slim,AFRICAN,F,"('AFRICAN', 'F')"
71,Andreza,42,"('outgoing', 'curious', 'adaptable')","('sarcastic', 'distractible', 'blunt')","('cooking', 'dancing', 'traveling')",kindergarten teacher,memorization,working class,bisexual,spiritual but not religious,0,5.4,brown,hazel,olive,curvy,HISPANIC,F,"('HISPANIC', 'F')"
72,Okechukwu,28,"('charismatic', 'driven', 'logical')","('arrogant', 'impulsive', 'uncompromising')","('basketball', 'chess', 'writing')",journalist,persuasion,upper middle class,homosexual,catholic,0,6.1,black,dark brown,black,athletic,AFRICAN,M,"('AFRICAN', 'M')"
73,Shumei,62,"('introspective', 'mindful', 'observant')","('aloof', 'rigid', 'pessimistic')","('gardening', 'origami', 'tea ceremonies')",retired librarian,eidetic memory,middle class,asexual,buddhist,0,5.0,grey,black,fair,petite,CHINESE,F,"('CHINESE', 'F')"
74,Breonna,24,"('confident', 'independent', 'adventurous')","('jealous', 'proud', 'tactless')","('rock climbing', 'photography', 'fashion')",event planner,networking,middle class,pansexual,atheist,0,5.8,dark brown,brown,brown,muscular,ENGLISH,F,"('ENGLISH', 'F')"
75,Sehoon,19,"('energetic', 'friendly', 'spontaneous')","('gullible', 'sensitive', 'disorganized')","('gaming', 'anime', 'skateboarding')",college student,speed texting,upper middle class,questioning,christian,0,5.9,black,dark brown,light,slim,KOREAN,M,"('KOREAN', 'M')"
76,Kazuyo,47,"('creative', 'diligent', 'humble')","('workaholic', 'shy', 'submissive')","('pottery', 'bonsai', 'karaoke')",accountant,mental math,working class,homosexual,shinto,0,5.2,black,brown,light,stocky,JAPANESE,F,"('JAPANESE', 'F')"
77,Tikva,56,"('loyal', 'nurturing', 'practical')","('anxious', 'nosy', 'argumentative')","('knitting', 'volunteering', 'puzzles')",social worker,active listening,middle class,heterosexual,jewish,0,5.3,grey,blue,white,plump,ISRAELI,F,"('ISRAELI', 'F')"
78,Tulika,31,"('artistic', 'passionate', 'idealistic')","('moody', 'escapist', 'self-critical')","('poetry', 'violin', 'astrology')",graphic designer,perfect pitch,middle class,bisexual,hindu,0,5.5,black,dark brown,brown,slim,INDIAN,F,"('INDIAN', 'F')"
79,Tugomir,68,"('dignified', 'principled', 'disciplined')","('stubborn', 'stoic', 'paranoid')","('war history', 'dogs', 'woodworking')",retired army officer,weapons expertise,upper middle class,heterosexual,orthodox christian,0,6.0,white,blue,white,large,SLAV,M,"('SLAV', 'M')"
80,Abdoul,31,"('optimistic', 'curious', 'adaptable')","('indecisive', 'impatient', 'stubborn')","('cooking', 'photography', 'hiking')",teacher,quick wit,middle class,heterosexual,agnostic,0,5.8,black,brown,dark brown,athletic,AFRICAN,M,"('AFRICAN', 'M')"
81,Mahdokht,27,"('ambitious', 'analytical', 'empathetic')","('workaholic', 'overthinks', 'sensitive')","('reading', 'yoga', 'volunteering')",data scientist,problem solving,upper middle class,bisexual,Muslim,0,5.5,brown,hazel,olive,slim,ARAB,F,"('ARAB', 'F')"
82,Angiola,43,"('charismatic', 'resourceful', 'decisive')","('controlling', 'sarcastic', 'impulsive')","('wine tasting', 'chess', 'gardening')",entrepreneur,negotiation,wealthy,heterosexual,Catholic,0,5.7,auburn,green,fair,curvy,ITALIAN,F,"('ITALIAN', 'F')"
83,Mariliis,36,"('introspective', 'creative', 'honest')","('withdrawn', 'self-critical', 'moody')","('painting', 'writing poetry', 'bird watching')",graphic designer,artistic vision,middle class,lesbian,spiritual but not religious,0,5.4,blonde,blue,pale,petite,NORDIC,F,"('NORDIC', 'F')"
84,Vaclava,52,"('pragmatic', 'disciplined', 'reliable')","('rigid', 'uncompromising', 'aloof')","('fishing', 'woodworking', 'vintage car collecting')",civil engineer,precision,upper middle class,heterosexual,atheist,0,6.1,gray,blue,light,stocky,SLAV,F,"('SLAV', 'F')"
85,Maayke,24,"('energetic', 'compassionate', 'idealistic')","('naive', 'disorganized', 'people-pleaser')","('social activism', 'contemporary dance', 'travel blogging')",social worker,emotional intelligence,working class,pansexual,Buddhist,0,5.6,red,green,freckled,slender,DUTCH,F,"('DUTCH', 'F')"
86,Changsik,39,"('intelligent', 'introverted', 'ethical')","('socially awkward', 'risk-averse', 'pessimistic')","('playing Go', 'comic book collecting', 'learning languages')",research scientist,critical thinking,middle class,asexual,agnostic,0,5.9,black,brown,tan,skinny,KOREAN,M,"('KOREAN', 'M')"
87,Sibel,29,"('outgoing', 'expressive', 'passionate')","('hot-tempered', 'blunt', 'restless')","('singing', 'fashion', 'mixology')",public relations manager,persuasion,upper middle class,heterosexual,culturally Muslim,0,5.8,dark brown,brown,olive,hourglass figure,TURKISH,F,"('TURKISH', 'F')"
88,Steffi,46,"('independent', 'competitive', 'protective')","('mistrustful', 'bad at communication', 'domineering')","('kickboxing', 'motorcycle riding', 'true crime podcasts')",police detective,interrogation,middle class,lesbian,agnostic,0,5.9,blonde,blue,fair,muscular,GERMAN,F,"('GERMAN', 'F')"
89,Ghislain,55,"('sophisticated', 'discreet', 'contemplative')","('paranoid', 'cynical', 'melancholic')","('playing piano', 'existential literature', 'gourmet cooking')",philosophy professor,rhetorical argument,upper class,heterosexual,lapsed Catholic,0,5.11,white,gray,pale,thin,FRENCH,M,"('FRENCH', 'M')"
90,Tokiyoshi,34,"('Curious', 'Optimistic', 'Resourceful')","('Indecisive', 'Forgetful', 'Impatient')","('Gardening', 'Photography', 'Cooking')",Graphic Designer,Digital Illustration,Middle Class,Heterosexual,Agnostic,0,5.7,Black,Brown,Tan,Slim,JAPANESE,M,"('JAPANESE', 'M')"
91,Anucha,28,"('Ambitious', 'Charismatic', 'Adaptable')","('Stubborn', 'Blunt', 'Jealous')","('Yoga', 'Traveling', 'Learning Languages')",Marketing Manager,Public Speaking,Upper Middle Class,Bisexual,Buddhism,0,5.5,Dark Brown,Hazel,Olive,Athletic,THAI,M,"('THAI', 'M')"
92,Hansgeorg,52,"('Analytical', 'Dependable', 'Disciplined')","('Workaholic', 'Inflexible', 'Perfectionist')","('Chess', 'Hiking', 'Woodworking')",Mechanical Engineer,Complex Problem Solving,Upper Class,Heterosexual,Atheist,0,5.11,Gray,Blue,Fair,Sturdy,GERMAN,M,"('GERMAN', 'M')"
93,Tsuyako,41,"('Compassionate', 'Intuitive', 'Modest')","('Anxious', 'Gullible', 'Procrastinator')","('Calligraphy', 'Tea Ceremony', 'Origami')",Teacher,Emotional Intelligence,Middle Class,Heterosexual,Shintoism,0,5.2,Black,Dark Brown,Pale,Petite,JAPANESE,F,"('JAPANESE', 'F')"
